time,Manual
2010-10-16 09:00:09,0
2010-10-16 10:00:09,0
2010-10-16 11:00:09,0
2010-10-16 12:00:09,0
2010-10-16 13:00:09,0
2010-10-16 14:00:09,0
2010-10-16 15:00:09,0
2010-10-16 16:00:09,0
2010-10-16 17:00:09,0
2010-10-16 18:00:09,0
2010-10-16 19:00:09,0
2010-10-16 20:00:09,0
2010-10-16 21:00:09,0
2010-10-16 22:00:09,0
2010-10-16 23:00:09,1
2010-10-17 00:00:09,1
2010-10-17 01:00:09,1
2010-10-17 02:00:09,1
2010-10-17 03:00:09,1
2010-10-17 04:00:09,1
2010-10-17 05:00:09,1
2010-10-17 06:00:09,0
2010-10-17 07:00:09,0
2010-10-17 08:00:09,0
